number, title, location, link,description
ETC3250/5250, Introduction to Machine Learning, Monash University, https://iml.numbat.space,"Covers the classic methods for dimension reduction, supervised classification and cluster analysis. What is special about this unit is the use ot high-dimensional data visualisation to explain emothds, and to diagnose models. "
ETC5521, Diving Deeper into Data, Monash University, https://eda.numbat.space,"This is an advanced exploratory data analysiis unit, that is based on the spirit of Tukey, to discover the unexpected in data. It has a large focus on making effective plots of data, and checking for suprious structure with modern methods of inference for graphics."
